baseline_mse,knot_count,latent_index,method,noise_sigma,repetition,target_knot_f1
0.3479751845377087,2,6,hcrd_robust,0.01,7,0.0
0.1450665456708775,11,6,hcrd_gaussian_guided,0.01,7,0.25
0.12154499934675311,9,6,hcrd_adaptive_guided,0.01,7,0.2857142857142857
0.13997269467347262,9,6,hcrd_quadratic_guided,0.01,7,0.42857142857142855
0.7961714388324245,106,6,hcrd_raw,0.01,8,0.12612612612612611
0.2871012436500009,3,6,hcrd_robust,0.01,8,0.25
0.163726727356414,11,6,hcrd_gaussian_guided,0.01,8,0.375
0.14089701105265873,9,6,hcrd_adaptive_guided,0.01,8,0.42857142857142855
0.14042138340835894,9,6,hcrd_quadratic_guided,0.01,8,0.42857142857142855
0.760374815875351,92,6,hcrd_raw,0.01,9,0.1443298969072165
0.46739165603979943,3,6,hcrd_robust,0.01,9,0.25
0.16178321644949167,11,6,hcrd_gaussian_guided,0.01,9,0.375
0.16179283059622632,11,6,hcrd_adaptive_guided,0.01,9,0.375
0.13932929466319088,9,6,hcrd_quadratic_guided,0.01,9,0.42857142857142855
0.8298130435400429,104,7,hcrd_raw,0.01,0,0.12844036697247707
0.14171961475675546,3,7,hcrd_robust,0.01,0,0.25
0.13367449875516776,11,7,hcrd_gaussian_guided,0.01,0,0.125
0.12008604969411957,9,7,hcrd_adaptive_guided,0.01,0,0.14285714285714285
0.1194744688845645,9,7,hcrd_quadratic_guided,0.01,0,0.42857142857142855
0.8057937923118088,92,7,hcrd_raw,0.01,1,0.1443298969072165
0.1429447074503196,3,7,hcrd_robust,0.01,1,0.25
0.11917489989705479,11,7,hcrd_gaussian_guided,0.01,1,0.125
0.11916058481036317,11,7,hcrd_adaptive_guided,0.01,1,0.125
0.12406991997597606,9,7,hcrd_quadratic_guided,0.01,1,0.42857142857142855
0.8352863108248677,110,7,hcrd_raw,0.01,2,0.1217391304347826
0.14011808312127774,3,7,hcrd_robust,0.01,2,0.25
0.10833960379718088,11,7,hcrd_gaussian_guided,0.01,2,0.125
0.10486984342246362,9,7,hcrd_adaptive_guided,0.01,2,0.14285714285714285
0.1186606142223026,9,7,hcrd_quadratic_guided,0.01,2,0.42857142857142855
0.8191554939374563,102,7,hcrd_raw,0.01,3,0.09345794392523366
0.1706701641091619,2,7,hcrd_robust,0.01,3,0.0
0.13258160458498372,11,7,hcrd_gaussian_guided,0.01,3,0.125
0.11741858182505756,9,7,hcrd_adaptive_guided,0.01,3,0.14285714285714285
0.11822043268581799,9,7,hcrd_quadratic_guided,0.01,3,0.42857142857142855
0.8265370042444011,95,7,hcrd_raw,0.01,4,0.14
0.16561848781224628,2,7,hcrd_robust,0.01,4,0.0
